District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2018 Incumbent,2016 President,,2012 President,,2008 President,,2018 US House,,2016 US House,,2014 US House,,2012 Two-Party,,2014-2018 ACS Citizen Adult Population,,,,,,2010 Census Adult Population by Race,,,,,,2014-2018 ACS Educational Attainment Among Adults 25+ and Median Household Income,,,,,,,,,,Non-College White Share,2013-2022 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2018 House,,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,ACS Citizen Population (Includes Latinos of Any Race),,,,,,,ACS Citizen Voting Age Population (Includes Latinos of Any Race),,,,,,,2010 Census Total Population (Includes Latinos of Any Race),,,,,,,2010 Census Voting Age Population (Includes Latinos of Any Race),,,,,,,2018 5-Year ACS Educational Attainment,,,,,2018 5-Year ACS White Educational Attainment,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,HS Rank,Bachelor's Degree or Higher,BA Rank (Bachelor's Degree Share),White BA (Bachelor's Degree or Higher Among Whites Only),White BA Rank (Bachelor's Degree Share),Median Income,Income Rank,White Income,White Rank,,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,< High School,High School,Some College,College,Total,< High School,High School,Some College,College
Connecticut's 4th,CT-04,Democratic,Jim,Himes,(JIM HAHYMZ),/dʒɪm haɪmz/,2008,1966,Man,White - Non-Hispanic,Christian - Presbyterian,No,Won,59.6,36.6,55.1,44.0,59.6,39.7,61.2,38.8,59.9,40.1,53.7,46.3,60.0,40.0,70.3,11.4,13.3,3.9,0.2,0.9,66.8,10.9,16.2,4.6,0.1,1.4 ,90.0 ,168 ,49.6 ,26 ,60.9 ,25 ,"$95,749",24,"$122,257",6,27.5,,,,85,"328,198","195,494","119,976","310,284","170,884","136,600","323,755","192,941","128,653","275,651","168,726","106,921",4,"313,540","187,811","125,724",5,"198,719","106,791","91,928",0,"175,929","117,503",,,,,"649,330","432,745","74,005","103,415","26,520",910,"11,740","484,035","340,205","55,135","64,440","18,885",795,"4,575","717,177","465,506","79,783","124,345","33,266",735,"13,542","536,108","358,054","58,362","86,945","24,833",489,"7,425","497,179","49,671","101,083","99,681","246,744","321,055","13,031","53,379","59,198","195,447"
Connecticut's 5th,CT-05,Democratic,Jahana,Hayes,(juh-HAHN-uh HEYZ),/dʒə.'hɑ.nə heɪz/,2018,1973,Woman,Black - African-American,Christian - Methodist,No,Open - Retired,49.9,45.8,53.5,45.3,56.4,42.4,55.9,44.1,58.0,42.0,53.3,45.8,51.3,48.7,76.6,6.4,13.4,2.5,0.1,1.1,76.7,5.6,13.1,2.9,0.1,1.5 ,89.4 ,205 ,36.5 ,116 ,41.2 ,130 ,"$72,591",100,"$82,894",92,45.1,,,,86,"322,737","161,142","147,901","307,553","164,621","139,347","323,202","182,147","137,066","270,664","151,225","119,426",13,"309,082","179,252","129,801",29,"211,123","112,550","96,625","1,948","146,106","138,640",,,,,"662,575","479,885","43,065","109,605","17,895","1,010","11,115","515,880","395,145","32,990","68,920","12,645",595,"5,595","715,099","523,650","41,986","111,254","21,966","1,035","15,208","547,324","419,536","30,764","71,894","15,916",775,"8,439","499,135","52,996","141,215","122,869","182,055","370,629","23,913","100,631","93,531","152,554"
Delaware's At-Large,DE-AL,Democratic,Lisa,Blunt Rochester,(LEE-suh BLUNT RAH-ches-ter),/'li.sə blʌnt 'ɹɑ.tʃɛs.təɹ/,2016,1962,Woman,Black - African-American,Christian - Protestant,No,Won,53.4,41.9,58.6,40.0,61.9,36.9,64.3,35.4,55.5,41.0,59.3,36.8,65.8,34.2,69.7,21.0,5.3,2.3,0.4,1.4,69.0,19.5,6.7,3.2,0.3,1.3 ,89.8 ,186 ,31.4 ,178 ,33.7 ,216 ,"$65,627",151,"$71,295",174,46.2,,,,87,"441,590","235,603","185,127","413,890","242,584","165,484","412,412","255,459","152,374","353,814","227,353","125,384","1,077","420,617","233,554","172,301","14,762","231,617","137,251","85,146","9,220","249,933","129,757",,,,,"903,590","592,180","198,595","66,955","22,455","2,820","20,580","704,110","490,825","148,020","37,160","15,865","2,555","9,685","897,934","586,752","186,782","73,221","28,546","2,824","19,809","692,169","477,636","134,984","46,136","21,844","2,248","9,321","659,979","67,482","208,557","176,708","207,232","447,906","32,918","141,065","122,873","151,050"
Florida's 1st,FL-01,Republican,Matt,Gaetz,(MAT GEYTS),/mæt geɪts/,2016,1982,Man,White - Non-Hispanic,Christian - Baptist,No,Won,28.2,67.5,30.1,68.5,32.0,66.8,32.9,67.1,30.9,69.1,23.4,70.1,28.1,71.9,77.0,12.9,4.8,2.3,0.5,2.6,77.6,12.5,4.5,2.7,0.8,2.0 ,90.8 ,129 ,27.8 ,246 ,30.2 ,274 ,"$55,779",249,"$60,276",273,53.8,,,,88,"380,100","107,063","256,609",100,30.1,68.5,100.0,32.0,66.8,"322,388","106,199","216,189",0,"369,186","114,079","255,107",0,"235,343","54,976","165,086","15,281","92,961","238,440",,,,,"741,825","552,255","99,250","42,280","15,910","3,515","28,620","579,890","446,550","74,550","27,925","13,130","2,820","14,905","696,535","522,979","94,989","35,965","17,410","5,027","20,165","541,847","420,265","67,755","24,624","14,449","4,149","10,605","520,956","47,820","139,555","188,519","145,062","401,446","27,988","104,917","147,499","121,042"
Florida's 2nd,FL-02,Republican,Neal,Dunn,(NEEL DUHN),/nil dʌn/,2016,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,30.6,66.2,34.0,64.6,35.2,63.4,32.6,67.4,29.9,67.3,      Redrawn,,      Redrawn,,79.5,12.7,4.7,1.2,0.4,1.4,79.7,12.2,4.8,1.5,0.5,1.3 ,87.2 ,281 ,23.5 ,325 ,24.5 ,363 ,"$48,717",358,"$50,960",400,60.0,,,,89,"354,948","108,636","234,991",100,34.0,64.6,100.0,35.2,63.4,"295,568","96,233","199,335",0,"343,362","102,801","231,163","9,398",,,,,,,,,,,"701,555","545,435","89,125","39,605","9,380","2,765","15,245","559,345","444,790","71,145","26,240","6,895","2,285","7,990","691,866","541,277","86,305","37,570","10,224","3,395","13,095","549,325","437,988","67,000","26,518","8,005","2,729","7,085","508,358","65,147","168,334","155,473","119,404","402,633","44,239","133,102","126,559","98,733"
Florida's 3rd,FL-03,Republican,Ted,Yoho,(TED YOH-hoh),/tɛd 'joʊ.hoʊ/,2012,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,40.2,56.2,41.9,56.6,44.2,54.6,42.4,57.6,39.8,56.6,      Redrawn,,      Redrawn,,72.5,15.3,7.9,2.4,0.3,1.6,72.8,14.8,7.4,3.3,0.3,1.4 ,88.7 ,233 ,27.1 ,256 ,27.9 ,301 ,"$49,527",347,"$53,777",366,52.3,,,,90,"351,688","141,362","197,478",100,41.9,56.6,100.0,44.2,54.6,"306,496","129,880","176,616",0,"342,700","136,338","193,843","12,519",,,,,,,,,,,"704,750","491,880","112,860","62,095","17,460","1,560","18,895","555,840","403,050","84,910","43,785","13,570","1,405","9,115","693,992","487,768","111,555","56,511","21,708","2,126","14,324","544,863","396,837","80,796","40,113","17,795","1,682","7,640","484,098","54,792","149,893","148,335","131,078","348,967","32,132","110,078","109,522","97,235"
Florida's 4th,FL-04,Republican,John,Rutherford,(JAHN RUH-ther-ferd),/dʒɑn 'ɹʌ.ðəɹ.fəɹd/,2016,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,34.1,62.1,32.8,66.1,34.8,64.2,32.4,65.2,27.6,70.2,      Redrawn,,      Redrawn,,79.4,8.9,6.4,3.4,0.2,1.7,79.0,9.0,6.2,4.0,0.3,1.5 ,93.4 ,35 ,39.6 ,87 ,40.3 ,137 ,"$70,059",116,"$72,608",165,47.4,,,,91,"421,618","143,675","261,826",100,32.8,66.1,100.0,34.8,64.2,"381,249","123,351","248,420","9,478","409,662","113,088","287,509","9,065",,,,,,,,,,,"747,840","577,590","69,560","53,540","26,190","1,530","19,430","587,140","466,395","52,380","37,480","19,755","1,370","9,760","703,676","539,580","68,319","48,895","29,091","2,060","15,731","548,152","432,907","49,112","34,090","22,162","1,651","8,230","551,001","36,547","128,980","167,448","218,026","430,121","23,832","102,867","130,050","173,372"
Florida's 5th,FL-05,Democratic,Al,Lawson,(AL LAW-suhn),/æl 'lɔ.sən/,2016,1948,Man,Black - African-American,Christian - Episcopalian,No,Won,61.3,35.9,63.6,35.4,63.2,35.9,66.8,33.2,64.2,35.8,      Redrawn,,      Redrawn,,44.6,45.8,5.7,2.0,0.3,1.6,46.7,43.1,6.0,2.4,0.3,1.4 ,85.3 ,335 ,20.2 ,386 ,23.2 ,386 ,"$41,255",417,"$50,298",405,34.2,,,,92,"312,071","191,194","111,892",100,63.6,35.4,100.0,63.2,35.9,"270,326","180,527","89,799",0,"302,874","194,549","108,325",0,,,,,,,,,,,"701,070","285,230","336,505","47,670","13,940","1,825","15,895","536,290","238,975","245,510","30,725","10,955","1,600","8,520","693,320","298,405","317,227","45,553","15,790","2,241","14,104","528,480","246,880","228,004","31,765","12,589","1,807","7,435","465,888","68,508","153,113","150,221","94,046","206,814","24,081","66,838","67,825","48,070"
Florida's 6th,FL-06,Republican,Michael,Waltz,(MAHY-kuhl WAWLTS),/'maɪ.kəl wɔlts/,2018,1974,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Elected governor,39.9,56.9,46.6,52.2,50.1,48.7,43.7,56.3,41.4,58.6,      Redrawn,,      Redrawn,,78.0,9.5,9.9,1.4,0.3,0.9,79.5,8.9,8.8,1.5,0.3,1.1 ,90.2 ,161 ,23.8 ,319 ,24.8 ,360 ,"$48,810",356,"$51,522",392,58.6,,,,93,"379,804","151,453","215,941",100,46.6,52.2,100.0,50.1,48.7,"333,649","145,758","187,891",0,"364,570","151,051","213,519",0,,,,,,,,,,,"730,235","546,910","74,980","84,500","9,945","2,195","11,710","596,695","465,410","56,625","59,125","8,180","1,905","5,455","699,410","534,141","68,545","72,835","10,704","1,958","11,227","564,224","448,394","50,236","49,490","8,540","1,607","5,957","558,943","54,992","180,627","190,423","132,901","437,091","36,224","140,943","151,340","108,584"
Florida's 7th,FL-07,Democratic,Stephanie,Murphy,(STEF-uh-nee MUR-fee),/'stɛ.fə.ni 'mɜɹ.fi/,2016,1978,Woman,Asian - Vietnamese,Christian - Protestant,No,Won,51.4,44.1,49.4,49.4,51.1,48.0,57.7,42.3,51.5,48.5,      Redrawn,,      Redrawn,,63.4,9.6,21.8,3.5,0.1,1.5,66.8,8.9,18.7,3.9,0.2,1.5 ,93.1 ,43 ,39.0 ,94 ,43.8 ,103 ,"$60,137",196,"$67,527",200,35.6,,,,94,"363,186","186,658","160,178",100,49.4,49.4,100.0,51.1,48.0,"317,398","183,113","134,285",0,"353,655","182,039","171,583",33,,,,,,,,,,,"713,475","430,365","72,095","168,605","26,075",950,"15,390","567,730","359,690","54,490","124,035","20,150",795,"8,570","695,696","445,353","65,935","141,621","26,859","1,565","14,363","548,186","365,919","49,047","102,442","21,202","1,242","8,334","516,515","35,728","112,031","167,285","201,471","317,612","12,607","65,028","100,938","139,039"
Florida's 8th,FL-08,Republican,Bill,Posey,(BILL POH-zee),/bɪl 'poʊ.zi/,2008,1947,Man,White - Non-Hispanic,Christian - Methodist,No,Won,37.7,58.4,42.1,56.6,43.8,54.9,39.5,60.5,32.5,63.1,34.1,65.8,38.9,61.1,80.0,8.4,8.2,1.7,0.3,1.4,80.4,8.3,7.7,2.0,0.3,1.3 ,91.2 ,111 ,29.0 ,225 ,30.3 ,270 ,"$53,969",273,"$56,534",328,55.8,,,,95,"401,911","151,412","234,648",100,42.1,56.6,100.0,43.8,54.9,"360,527","142,415","218,112",0,"390,561","127,127","246,483","16,951","274,513","93,724","180,728",61,"130,870","205,432",,,,,"716,055","549,975","66,450","69,165","12,375","1,895","16,200","582,790","466,515","48,995","47,605","9,805","1,465","8,410","695,476","538,048","65,465","62,145","13,601","2,035","14,182","558,439","449,006","46,558","42,740","11,023","1,648","7,464","553,073","48,797","159,809","183,843","160,624","438,052","29,051","127,541","148,681","132,779"
Florida's 9th,FL-09,Democratic,Darren,Soto,(DAIR-ren SOH-toh),/'dɛ.ɹən 'soʊ.ɾoʊ/,2016,1978,Man,Hispanic - Puerto Rican,Christian - Roman Catholic,No,Won,54.8,41.9,55.6,43.4,54.6,44.5,58.0,42.0,57.5,42.5,      Redrawn,,      Redrawn,,49.0,11.3,35.7,2.6,0.2,1.2,52.4,10.7,32.2,3.0,0.2,1.5 ,86.0 ,314 ,23.6 ,322 ,26.9 ,318 ,"$51,094",325,"$57,185",315,35.8,,,,96,"356,530","195,368","149,352",100,55.6,43.4,100.0,54.6,44.5,"296,737","172,172","124,565",0,"339,761","195,311","144,450",0,,,,,,,,,,,"766,945","342,845","91,980","298,115","18,970","1,510","13,520","575,460","281,735","65,095","205,255","14,910","1,330","7,125","693,475","334,024","79,271","244,747","20,291","1,544","13,598","520,247","272,500","55,761","167,633","15,555","1,239","7,559","564,270","78,822","172,876","179,270","133,302","266,700","24,573","83,425","86,861","71,841"
Florida's 10th,FL-10,Democratic,Val,Demings,(VAL DEM-ingz),/væl 'dɛ.mɪŋgz/,2016,1957,Woman,Black - African-American,Christian - Protestant,No,Won,61.8,34.9,60.7,38.4,60.9,38.5,100.0,0.0,64.9,35.1,      Redrawn,,      Redrawn,,43.6,26.3,23.6,4.9,0.1,1.6,44.1,25.0,23.0,5.4,0.2,2.3 ,87.3 ,280 ,30.8 ,194 ,39.9 ,146 ,"$52,843",297,"$67,236",202,26.2,,,,97,"315,611","194,934","110,062",100,60.7,38.4,100.0,60.9,38.5,0,0,0,0,"305,989","198,491","107,498",0,,,,,,,,,,,"711,475","283,335","197,425","181,960","32,750",965,"15,040","527,540","229,895","138,535","124,315","25,605",735,"8,460","694,368","282,252","186,708","168,629","35,871","1,551","19,357","519,891","229,356","129,784","119,463","28,110","1,181","11,997","541,227","68,916","140,445","164,932","166,934","223,143","14,449","51,937","67,813","88,944"
Florida's 11th,FL-11,Republican,Daniel,Webster,(DAN-yuhl WEB-ster),/'dæn.jəl 'wɛb.stəɹ/,2010,1949,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Won,32.5,64.8,39.8,59.2,42.6,56.1,34.8,65.1,31.6,65.4,      Redrawn,,      Redrawn,,83.3,6.2,8.1,1.0,0.3,1.0,84.4,6.0,7.3,1.1,0.3,0.9 ,88.7 ,230 ,20.6 ,376 ,21.5 ,404 ,"$46,297",382,"$47,189",422,65.5,,,,98,"410,998","133,448","266,256",100,39.8,59.2,100.0,42.6,56.1,"367,506","128,053","239,395",58,"394,719","124,713","258,016","11,990",,,,,,,,,,,"737,110","592,250","51,155","71,275","7,710","2,515","12,215","619,225","516,115","38,530","50,195","6,070","2,055","6,265","692,014","563,980","46,961","60,756","8,285","2,057","9,975","574,603","484,917","34,199","41,898","6,481","1,698","5,410","593,195","66,865","213,620","190,639","122,071","493,135","47,323","179,885","160,145","105,782"
Florida's 12th,FL-12,Republican,Gus,Bilirakis,(GUHS bil-uh-RAK-is),/gʌs ˌbɪ.lə.'ɹæ.kɪs/,2006,1963,Man,White - Non-Hispanic,Christian - Eastern Orthodox,No,Won,38.8,57.4,45.5,53.0,47.4,51.2,39.7,58.1,31.4,68.6,      Redrawn,,      Redrawn,,82.5,4.2,10.0,2.0,0.3,1.1,84.7,3.3,8.5,2.1,0.2,1.1 ,90.5 ,143 ,27.5 ,252 ,27.1 ,315 ,"$52,568",302,"$52,339",384,60.1,,,,99,"380,357","147,759","218,487",100,45.5,53.0,100.0,47.4,51.2,"334,918","132,844","194,564","7,510","369,669","116,110","253,559",0,,,,,,,,,,,"727,265","578,565","32,870","84,920","15,690","2,040","13,185","583,295","480,975","24,680","58,085","11,760","1,660","6,140","694,735","569,187","26,134","70,632","15,567","1,641","11,574","554,847","470,214","18,400","47,259","11,692","1,372","5,910","560,434","53,049","172,343","180,656","154,386","457,802","37,893","145,782","149,910","124,217"
Florida's 13th,FL-13,Democratic,Charlie,Crist,(CHAR-lee KRIST),/'tʃɑɹ.li kɹɪst/,2016,1956,Man,White - Non-Hispanic,Christian - Methodist,No,Won,49.6,46.4,54.6,43.9,55.5,43.0,57.6,42.4,51.9,48.1,      Redrawn,,      Redrawn,,77.3,11.2,7.1,2.8,0.3,1.3,77.7,10.6,7.1,3.0,0.3,1.3 ,90.4 ,151 ,29.7 ,211 ,31.6 ,248 ,"$50,319",338,"$52,901",377,52.9,,,,100,"360,760","178,892","167,348",100,54.6,43.9,100.0,55.5,43.0,"316,971","182,717","134,254",0,"355,842","184,693","171,149",0,,,,,,,,,,,"686,660","503,190","85,695","59,535","20,295","1,640","16,305","567,935","439,170","63,775","40,105","16,080","1,455","7,350","697,259","515,948","85,309","58,531","22,253","1,685","13,533","572,547","445,128","60,558","40,776","17,380","1,436","7,269","550,581","52,832","158,752","175,552","163,445","420,522","30,876","120,060","136,544","133,042"
Florida's 14th,FL-14,Democratic,Kathy,Castor,(KATH-ee KAS-tur),/'kæ.θi 'kæ.stəɹ/,2006,1966,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Won,57.2,39.0,57.6,41.2,58.1,40.9,100.0,0.0,61.8,38.2,      Redrawn,,      Redrawn,,53.3,17.2,24.3,3.4,0.2,1.7,52.1,16.4,25.8,3.9,0.2,1.6 ,88.5 ,238 ,35.8 ,125 ,46.2 ,89 ,"$53,306",287,"$69,002",190,28.7,,,,101,"330,433","188,870","128,797",100,57.6,41.2,100.0,58.1,40.9,0,0,0,0,"316,877","195,789","121,088",0,,,,,,,,,,,"685,920","339,755","124,645","181,120","23,750","1,450","15,190","529,480","282,005","90,955","128,495","17,765","1,085","9,165","699,039","340,252","125,058","190,290","27,136","1,469","14,834","540,408","281,502","88,675","139,462","21,044","1,192","8,533","520,121","59,751","136,446","137,722","186,202","256,150","13,171","53,807","70,824","118,348"
Florida's 15th,FL-15,Republican,Ross,Spano,(RAWS SPAN-oh),/ɹɔs 'spæ.noʊ/,2018,1966,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Open - Retired,43.1,53.1,46.6,52.2,46.7,52.1,47.0,53.0,42.5,57.5,      Redrawn,,      Redrawn,,65.5,13.5,17.0,2.4,0.3,1.4,67.3,12.3,16.1,2.6,0.3,1.4 ,87.8 ,266 ,25.2 ,293 ,26.6 ,324 ,"$54,333",267,"$59,523",288,48.1,,,,102,"334,518","144,225","177,635",100,46.6,52.2,100.0,46.7,52.1,"285,532","134,132","151,380",20,"318,474","135,475","182,999",0,,,,,,,,,,,"730,925","444,135","105,795","146,985","17,140","1,850","15,010","556,295","364,440","74,915","94,535","13,130","1,505","7,765","704,327","445,708","93,944","129,668","18,080","2,121","14,806","533,364","358,784","65,689","85,793","13,726","1,656","7,716","530,275","64,546","167,767","164,108","133,854","336,310","31,349","109,200","106,374","89,387"
Florida's 16th,FL-16,Republican,Vern,Buchanan,(VERN BYOO-kan-uhn),/vɜɹn 'bju.kæ.nən/,2006,1951,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Won,43.0,53.7,45.1,53.7,47.7,51.2,45.4,54.6,40.2,59.8,      Redrawn,,      Redrawn,,79.3,7.4,10.4,1.7,0.2,1.0,78.2,6.6,12.3,1.7,0.2,0.9 ,90.0 ,167 ,32.3 ,166 ,35.3 ,196 ,"$59,440",202,"$62,132",254,51.3,,,,103,"396,807","170,442","213,271",100,45.1,53.7,100.0,47.7,51.2,"361,946","164,463","197,483",0,"385,916","155,262","230,654",0,,,,,,,,,,,"750,440","552,635","62,680","108,435","13,385","1,715","11,590","597,650","473,650","44,280","62,160","10,345","1,455","5,760","698,285","512,728","54,263","107,028","12,118","1,435","10,713","555,284","434,488","36,859","68,393","9,199","1,122","5,223","595,087","59,272","168,257","175,638","191,920","458,273","29,581","127,862","138,943","161,887"
Florida's 17th,FL-17,Republican,Greg,Steube,(GREG STOO-bee),/gɹɛg 'stu.bi/,2018,1978,Man,White - Non-Hispanic,Christian - Methodist,No,Open - Retired,35.0,62.2,41.3,57.6,43.9,54.7,37.7,62.3,34.2,61.8,      Redrawn,,      Redrawn,,81.4,6.5,9.8,1.0,0.3,1.0,80.1,6.3,11.4,1.1,0.3,0.8 ,87.0 ,286 ,21.5 ,357 ,23.3 ,384 ,"$48,734",357,"$51,264",395,62.4,,,,104,"353,861","123,919","220,156",100,41.3,57.6,100.0,43.9,54.7,"310,520","117,194","193,326",0,"338,675","115,974","209,348","13,353",,,,,,,,,,,"714,755","552,245","51,110","90,655","7,525","1,940","11,275","587,955","478,520","38,485","57,705","6,095","1,525","5,630","694,462","527,934","49,044","98,462","7,898","2,357","8,767","563,830","451,382","35,688","64,393","6,113","1,726","4,528","577,630","74,964","208,565","169,766","124,335","460,280","41,723","169,557","141,697","107,303"
Florida's 18th,FL-18,Republican,Brian,Mast,(BRAHY-uhn MAST),/'bɹaɪ.ən mæst/,2016,1980,Man,Hispanic - Mexican,Christian - Protestant,No,Won,44.1,53.3,47.7,51.4,51.2,47.9,45.7,54.3,43.1,53.6,      Redrawn,,      Redrawn,,75.3,10.9,11.0,1.7,0.2,0.9,74.2,10.5,12.2,1.8,0.2,1.1 ,89.6 ,196 ,31.1 ,188 ,34.5 ,204 ,"$58,721",213,"$62,406",247,49.3,,,,105,"382,474","168,558","203,771",100,47.7,51.4,100.0,51.2,47.9,"342,359","156,454","185,905",0,"375,918","161,918","201,488","12,512",,,,,,,,,,,"707,985","499,925","86,195","97,485","12,770","1,325","10,290","570,700","429,870","62,255","62,760","9,770",945,"5,095","699,427","490,338","84,043","99,561","12,911","1,339","11,235","557,944","414,197","58,602","67,959","10,022","1,002","6,162","564,590","58,911","154,721","175,520","175,438","409,998","25,664","111,465","131,340","141,529"
Florida's 19th,FL-19,Republican,Francis,Rooney,(FRAN-sis ROO-nee),/'fɹæn.sɪs 'ɹu.ni/,2016,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,37.5,59.6,38.7,60.5,42.3,56.8,37.7,62.3,34.1,65.9,32.7,64.6,36.6,63.4,80.1,5.8,11.9,1.4,0.2,0.7,77.2,5.7,14.8,1.3,0.2,0.9 ,89.1 ,212 ,32.5 ,162 ,37.2 ,174 ,"$57,611",226,"$62,699",246,50.3,24-Jun-14,29.3,66.9,106,"381,158","143,001","227,097",100,38.7,60.5,100.0,42.3,56.8,"339,607","128,106","211,465",36,"363,166","123,812","239,225",129,"246,861","80,824","159,354","6,683","109,746","189,833","99,989","29,314","66,922","3,753","721,070","535,375","51,875","114,770","10,160","1,205","7,670","592,475","474,655","34,070","70,230","8,305",925,"4,285","696,429","504,100","48,193","124,310","9,386","1,291","9,149","569,135","439,097","32,411","84,305","7,315","1,001","5,006","608,883","66,476","171,334","172,885","198,188","461,987","25,929","126,426","137,910","171,722"
Florida's 20th,FL-20,Democratic,Alcee,Hastings,(AL-see HEY-stingz),/'æl.si 'heɪ.stɪŋgz/,1992,1936,Man,Black - African-American,Christian - African Methodist Episcopal,No,Won,80.2,18.1,82.5,17.1,80.9,18.6,99.9,0.0,80.3,19.7,      Redrawn,,      Redrawn,,23.9,51.6,20.3,2.6,0.1,1.4,25.2,47.5,22.6,2.6,0.2,1.9 ,82.1 ,377 ,21.0 ,367 ,27.7 ,304 ,"$46,252",383,"$54,670",353,17.3,,,,107,"288,811","231,596","52,251",100,82.5,17.1,100.0,80.9,18.6,"202,824","202,659",0,165,"277,560","222,914","54,646",0,,,,,,,,,,,"659,255","133,090","354,335","142,280","17,025",815,"11,705","482,355","115,275","248,830","98,035","12,685",585,"6,960","703,209","152,398","353,590","162,452","17,926","1,231","15,612","523,033","131,678","248,635","118,013","13,843",863,"10,001","516,162","92,457","164,769","150,582","108,354","112,365","10,114","35,600","35,489","31,162"
Florida's 21st,FL-21,Democratic,Lois,Frankel,(LOH-is FREYNK-uhl),/'loʊ.ɪs 'fɹeɪŋ.kəl/,2012,1948,Woman,White - Non-Hispanic,Jewish,No,Won,58.6,39.1,60.4,38.9,63.4,35.9,100.0,0.0,62.7,35.1,      Redrawn,,      Redrawn,,68.1,12.3,16.2,2.3,0.1,1.0,66.8,11.7,17.8,2.3,0.1,1.2 ,87.9 ,262 ,35.0 ,135 ,41.5 ,124 ,"$58,430",217,"$63,383",243,39.8,,,,108,"351,661","206,239","137,490",100,60.4,38.9,100.0,63.4,35.9,0,0,0,0,"335,861","210,606","118,038","7,217",,,,,,,,,,,"665,365","414,045","95,010","129,555","16,025",775,"9,960","530,095","360,855","65,000","86,100","12,220",640,"5,280","689,378","429,055","93,851","137,674","16,422","1,175","11,201","554,416","370,463","65,059","98,822","12,519",820,"6,733","563,222","67,893","138,605","159,713","197,011","352,344","17,267","84,198","104,567","146,312"
Florida's 22nd,FL-22,Democratic,Ted,Deutch,(TED DOYCH),/tɛd dɔɪtʃ/,2010 Special,1966,Man,White - Non-Hispanic,Jewish,No,Won,56.8,41.0,56.3,43.0,58.3,41.0,62.0,38.0,58.9,41.1,      Redrawn,,      Redrawn,,67.2,12.3,16.5,2.6,0.2,1.2,67.5,11.2,16.6,2.8,0.1,1.8 ,91.4 ,106 ,39.0 ,93 ,44.5 ,99 ,"$62,550",179,"$69,184",189,37.3,,,,109,"356,482","202,355","146,228",100,56.3,43.0,100.0,58.3,41.0,"297,683","184,634","113,049",0,"337,850","199,113","138,737",0,,,,,,,,,,,"657,900","410,670","92,110","124,030","18,200",985,"11,905","526,185","353,840","64,960","86,660","13,545",800,"6,380","693,643","443,788","89,626","124,060","19,871","1,019","15,279","562,571","379,522","63,226","93,268","15,581",804,"10,170","557,315","48,067","137,509","154,173","217,566","352,555","16,913","81,825","96,824","156,993"
Florida's 23rd,FL-23,Democratic,Debbie,Wasserman Schultz,(DEB-ee WAH-ser-min SHUHLTS),/'dɛ.bi 'wɑ.səɹ.mɪn ʃʌlts/,2004,1966,Woman,White - Non-Hispanic,Jewish,No,Won,61.9,35.8,61.4,38.0,62.0,37.3,58.5,36.0,56.7,40.5,      Redrawn,,      Redrawn,,47.7,13.3,33.8,3.7,0.3,1.3,51.1,11.6,31.9,3.6,0.2,1.6 ,92.3 ,74 ,39.4 ,91 ,41.5 ,125 ,"$64,827",157,"$69,503",186,27.9,,,,110,"337,782","209,079","120,967",100,61.4,38.0,100.0,62.0,37.3,"276,366","161,611","99,446","15,309","323,120","183,225","130,818","9,077",,,,,,,,,,,"652,635","295,620","92,460","226,380","23,945","1,770","12,460","505,920","241,425","67,045","170,925","18,655","1,350","6,510","695,383","340,184","86,158","228,644","25,349","1,595","13,453","542,450","277,370","62,833","172,906","19,661","1,095","8,585","536,587","41,477","123,805","160,124","211,181","239,126","13,831","54,641","71,447","99,207"
